,Timestamp,Vehicle_ID,Latitude,Longitude,Num_Passengers,Time_Diff,Dist_Diff,MpH
0,1380949465,83,40.73062,-73.99065,1,265,0.0,0.0
0,1380949411,89,40.714290000000005,-74.01153000000001,1,211,0.0,0.0
0,1380949426,112,40.77178,-73.97919,1,226,0.0,0.0
0,1380949472,121,40.739740000000005,-74.00249000000001,1,272,0.0,0.0
0,1380949434,141,40.77114,-73.96392,1,234,0.0,0.0
0,1380949472,142,40.76225,-73.97014,1,272,0.0,0.0
0,1380949433,185,40.73855,-73.99968,1,233,0.0,0.0
0,1380949368,194,40.80827,-73.93879,1,168,0.0,0.0
0,1380949370,210,40.79725,-73.96804,1,170,0.0,0.0
0,1380949320,211,40.73855,-73.99968,1,120,0.0,0.0
0,1380949477,213,40.73043,-74.00012,1,277,0.0,0.0
0,1380949426,267,40.759640000000005,-73.97206,1,226,0.0,0.0
0,1380949470,323,40.73687,-73.97851,1,270,0.0,0.0
0,1380949337,330,40.7273,-73.99363000000001,1,137,0.0,0.0
0,1380949255,332,40.74168,-74.00492,1,55,0.0,0.0
0,1380949369,348,40.75143,-73.97391999999999,1,169,0.0,0.0
0,1380949252,353,40.744640000000004,-74.00273,1,52,0.0,0.0
0,1380949312,361,40.786809999999996,-73.94524,1,112,0.0,0.0
0,1380949426,388,40.75582,-73.97074,1,226,0.0,0.0
0,1380949430,413,40.7711,-73.96171,1,230,0.0,0.0
0,1380949379,420,40.787620000000004,-73.977,1,179,0.0,0.0
0,1380949256,421,40.759159999999994,-73.98839,1,56,0.0,0.0
0,1380949448,452,40.74719,-73.97567,1,248,0.0,0.0
0,1380949430,485,40.7915,-73.97223000000001,1,230,0.0,0.0
0,1380949378,495,40.779540000000004,-73.95781,1,178,0.0,0.0
0,1380949469,464,40.72449,-73.98164,1,267,0.0,0.0
0,1380949397,28,40.75269,-74.00053,1,192,0.0,0.0
0,1380949265,94,40.7603,-73.99498,1,60,0.0,0.0
0,1380949480,72,40.773,-73.96226,1,271,0.0,0.0
0,1380949490,137,40.73467,-73.99459,1,279,0.0,0.0
0,1380949274,428,40.78154,-73.96041,1,60,0.0,0.0
0,1380949363,390,40.722640000000006,-73.98791,1,148,0.0,0.0
0,1380949403,70,40.794709999999995,-73.97192,1,185,0.0,0.0
0,1380949501,186,40.73337,-73.98524,1,278,0.0,0.0
0,1380949418,283,40.764109999999995,-73.98849,1,195,0.0,0.0
0,1380949343,178,40.73883,-73.98315,1,116,0.0,0.0
0,1380949421,432,40.724579999999996,-73.9875,1,193,0.0,0.0
0,1380949396,199,40.72162,-73.99546,1,167,0.0,0.0
0,1380949285,473,40.723279999999995,-73.98252,1,55,0.0,0.0
0,1380949396,55,40.78391,-73.9503,1,165,0.0,0.0
0,1380949400,368,40.72547,-73.99304000000001,1,166,0.0,0.0
0,1380949329,306,40.72142,-73.99903,1,92,0.0,0.0
0,1380949510,322,40.7691,-73.95505,1,271,0.0,0.0
0,1380949459,424,40.73407,-73.99965999999999,1,212,0.0,0.0
0,1380949422,67,40.77789,-73.95174,1,162,0.0,0.0
0,1380949437,177,40.77789,-73.95174,1,177,0.0,0.0
0,1380949481,273,40.76082,-73.9629,1,221,0.0,0.0
0,1380949516,305,40.79099,-73.96521,1,256,0.0,0.0
0,1380949476,311,40.7423,-74.00854,1,216,0.0,0.0
0,1380949484,343,40.73816,-73.98364000000001,1,224,0.0,0.0
0,1380949495,367,40.75738,-73.9667,1,235,0.0,0.0
0,1380949479,375,40.772690000000004,-73.94949,1,219,0.0,0.0
0,1380949371,382,40.749590000000005,-74.00279,1,111,0.0,0.0
0,1380949372,385,40.74897,-74.00324,1,112,0.0,0.0
0,1380949505,412,40.77178,-73.97919,1,245,0.0,0.0
0,1380949408,418,40.74797,-73.97052,1,148,0.0,0.0
0,1380949541,459,40.70823,-74.01438,1,281,0.0,0.0
0,1380949428,478,40.74835,-74.00368,1,168,0.0,0.0
0,1380949373,490,40.80426,-73.96293,1,113,0.0,0.0
0,1380949523,247,40.71992,-74.00259,1,253,0.0,0.0
0,1380949446,398,40.77623,-73.95586999999999,1,175,0.0,0.0
0,1380949431,105,40.79144,-73.976,1,158,0.0,0.0
0,1380949374,155,40.79287,-73.94776,1,101,0.0,0.0
0,1380949490,64,40.70923,-74.00019,1,213,0.0,0.0
0,1380949362,76,40.70799,-74.00802,1,72,0.0,0.0
0,1380949461,54,40.77544,-73.98206,1,165,0.0,0.0
0,1380949590,366,40.78075,-73.95257,1,283,0.0,0.0
0,1380949423,99,40.72153,-74.01068000000001,1,103,0.0,0.0
0,1380949485,116,40.72293,-74.00218000000001,1,165,0.0,0.0
0,1380949603,143,40.71765,-73.98867,1,283,0.0,0.0
0,1380949545,176,40.78839,-73.947,1,225,0.0,0.0
0,1380949512,184,40.82262,-73.95317,1,192,0.0,0.0
0,1380949594,313,40.703520000000005,-74.01158000000001,1,274,0.0,0.0
0,1380949381,328,40.78503,-73.98068,1,61,0.0,0.0
0,1380949598,469,40.81337,-73.95626,1,278,0.0,0.0
0,1380949553,349,40.770759999999996,-73.95693,1,222,0.0,0.0
0,1380949561,408,40.73022,-74.00684,1,230,0.0,0.0
0,1380949603,403,40.71857,-73.9834,1,255,0.0,0.0
0,1380949535,374,40.7297,-74.00921,1,182,0.0,0.0
0,1380949533,187,40.79805,-73.96004,1,174,0.0,0.0
0,1380949605,202,40.706720000000004,-74.00678,1,237,0.0,0.0
0,1380949646,61,40.71302,-73.99446,1,272,0.0,0.0
0,1380949656,73,40.79541,-73.94187,1,276,0.0,0.0
0,1380949618,224,40.71665,-73.99583,1,238,0.0,0.0
0,1380949656,292,40.70555,-74.00795,1,276,0.0,0.0
0,1380949666,426,40.8532,-73.93419,1,255,0.0,0.0
0,1380949632,45,40.71113,-74.01465,1,215,0.0,0.0
0,1380949647,278,40.71672,-73.98915,1,222,0.0,0.0
0,1380949713,264,40.708709999999996,-74.00729,1,277,0.0,0.0
0,1380949745,195,40.807590000000005,-73.96696999999999,1,284,0.0,0.0
0,1380949706,407,40.849309999999996,-73.93895,1,242,0.0,0.0
0,1380949748,489,40.82408,-73.94888,1,248,0.0,0.0
0,1380949694,365,40.81855,-73.93772,1,174,0.0,0.0
0,1380949781,293,40.705870000000004,-74.01324,1,232,0.0,0.0
0,1380949841,169,40.85338,-73.93743,1,200,0.0,0.0
0,1380950047,357,40.810629999999996,-73.95827,1,247,0.0,0.0
0,1380950144,60,40.80043,-73.9657,1,224,0.0,0.0
0,1380950162,277,40.79925,-73.93906,1,210,0.0,0.0
0,1380950405,239,40.81406,-73.94474,1,176,0.0,0.0
0,1380950533,135,40.80805,-73.95793,1,215,0.0,0.0
0,1380950772,132,40.791909999999994,-73.9415,1,174,0.0,0.0
0,1380950865,344,40.80052,-73.93814,1,232,0.0,0.0
0,1380950681,399,40.80082,-73.935,1,41,0.0,0.0
0,1380950981,96,40.84109,-73.93793000000001,1,224,0.0,0.0
0,1380951345,78,40.807809999999996,-73.94556999999999,1,285,0.0,0.0
0,1380951279,160,40.80307,-73.93836999999999,1,219,0.0,0.0
0,1380951262,209,40.84026,-73.93968000000001,1,82,0.0,0.0
0,1380951528,102,40.80146,-73.93454,1,117,0.0,0.0
0,1380952043,470,40.830890000000004,-73.94136999999999,1,180,0.0,0.0
0,1380952766,372,40.80267,-73.94912,1,277,0.0,0.0
0,1380953027,163,40.799440000000004,-73.95149,1,231,0.0,0.0
0,1380953746,254,40.7971,-73.94974,1,46,0.0,0.0
0,1380954210,455,40.79609,-73.96335,1,210,0.0,0.0
0,1380955941,440,40.81272,-73.9455,1,124,0.0,0.0
0,1380957058,86,40.799479999999996,-73.95539000000001,1,178,0.0,0.0
0,1380958469,156,40.812540000000006,-73.96393,1,269,0.0,0.0
0,1380961738,171,40.8172,-73.94223000000001,1,178,0.0,0.0
0,1380962397,226,40.84095,-73.93948,1,237,0.0,0.0
0,1380963897,30,40.82413,-73.94097,1,189,0.0,0.0
0,1380964657,56,40.70857,-74.00017,1,217,0.0,0.0
0,1380965440,17,40.84167,-73.93927,1,280,0.0,0.0
0,1380970340,465,40.779709999999994,-73.94389,1,200,0.0,0.0
0,1380977270,114,40.83638,-73.94457,1,230,0.0,0.0
0,1380978027,279,40.86848,-73.91856,1,256,0.0,0.0
0,1380985256,396,40.84106,-73.93970999999999,1,176,0.0,0.0
0,1381000314,49,40.822720000000004,-73.95745,1,234,0.0,0.0
